# gpu=5 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 1 --method nsreg --tag E400_nsreg --epochs 400 --rotations 0
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.001
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 764  num train neg edges: 3868
NSReg Training ...
Batch mode: enabled original propertion
Epoch 148 loss=0.6313, clf_loss=0.0070, lbl_loss=0.6243
Epoch 149 loss=0.6446, clf_loss=0.0086, lbl_loss=0.6359
Epoch 150 loss=0.6226, clf_loss=0.0146, lbl_loss=0.6080
Epoch 151 loss=0.6140, clf_loss=0.0109, lbl_loss=0.6030
Epoch 152 loss=0.5827, clf_loss=0.0094, lbl_loss=0.5734
Epoch 153 loss=0.6182, clf_loss=0.0046, lbl_loss=0.6136
Epoch 154 loss=0.6334, clf_loss=0.0051, lbl_loss=0.6283
Epoch 155 loss=0.6203, clf_loss=0.0120, lbl_loss=0.6083
Epoch 156 loss=0.6325, clf_loss=0.0149, lbl_loss=0.6176
Epoch 157 loss=0.6109, clf_loss=0.0166, lbl_loss=0.5943
Epoch 158 loss=0.6072, clf_loss=0.0033, lbl_loss=0.6040
Epoch 159 loss=0.5931, clf_loss=0.0067, lbl_loss=0.5864
Epoch 160 loss=0.6167, clf_loss=0.0069, lbl_loss=0.6098
Epoch 161 loss=0.5865, clf_loss=0.0059, lbl_loss=0.5805
Epoch 162 loss=0.5900, clf_loss=0.0052, lbl_loss=0.5848
Epoch 163 loss=0.6046, clf_loss=0.0065, lbl_loss=0.5980
Epoch 164 loss=0.5853, clf_loss=0.0071, lbl_loss=0.5782
Epoch 165 loss=0.5977, clf_loss=0.0048, lbl_loss=0.5929
Epoch 166 loss=0.6133, clf_loss=0.0174, lbl_loss=0.5959
Epoch 167 loss=0.5788, clf_loss=0.0042, lbl_loss=0.5746
Epoch 168 loss=0.6061, clf_loss=0.0066, lbl_loss=0.5995
Epoch 169 loss=0.5900, clf_loss=0.0049, lbl_loss=0.5851
Epoch 170 loss=0.5784, clf_loss=0.0089, lbl_loss=0.5695
Epoch 171 loss=0.5767, clf_loss=0.0033, lbl_loss=0.5734
Epoch 172 loss=0.5802, clf_loss=0.0049, lbl_loss=0.5753
Epoch 173 loss=0.6158, clf_loss=0.0027, lbl_loss=0.6131
Epoch 174 loss=0.5847, clf_loss=0.0034, lbl_loss=0.5813
Epoch 175 loss=0.5686, clf_loss=0.0062, lbl_loss=0.5625
Epoch 176 loss=0.6082, clf_loss=0.0037, lbl_loss=0.6046
Epoch 177 loss=0.6122, clf_loss=0.0039, lbl_loss=0.6083
Epoch 178 loss=0.5954, clf_loss=0.0029, lbl_loss=0.5925
Epoch 179 loss=0.6023, clf_loss=0.0034, lbl_loss=0.5988
Epoch 180 loss=0.5770, clf_loss=0.0038, lbl_loss=0.5732
Epoch 181 loss=0.5627, clf_loss=0.0039, lbl_loss=0.5589
Epoch 182 loss=0.6030, clf_loss=0.0028, lbl_loss=0.6001
Epoch 183 loss=0.6104, clf_loss=0.0036, lbl_loss=0.6067
Epoch 184 loss=0.5738, clf_loss=0.0071, lbl_loss=0.5668
Epoch 185 loss=0.5941, clf_loss=0.0019, lbl_loss=0.5922
