dataset,method,tag,n_seeds,seeds,epochs,best_auroc,best_aupr,valsel_auroc,valsel_aupr,config_sha8,rotation_files
photo,outpost,T_alpha0.01,3,0 1 42,200,0.8281 +- 0.0245,0.5239 +- 0.0109,0.7773,0.4908,bb427675,6
photo,outpost,T_drop0.3,3,0 1 42,200,0.8353 +- 0.0197,0.5239 +- 0.0121,0.7693,0.4883,c07a114e,6
photo,outpost,T_gateq0.8,3,0 1 42,200,0.8351 +- 0.0179,0.5250 +- 0.0123,0.7732,0.4894,a982316e,6
photo,outpost,T_hidden128,3,0 1 42,200,0.8456 +- 0.0062,0.5351 +- 0.0071,0.7810,0.4968,546656d9,6
photo,outpost,T_hidden32,3,0 1 42,200,0.8396 +- 0.0288,0.5276 +- 0.0209,0.7818,0.4937,c5d4a467,6
photo,outpost,T_lambda_un0.5,3,0 1 42,200,0.8314 +- 0.0240,0.5271 +- 0.0170,0.7830,0.4954,5ee50755,6
photo,outpost,T_lambda_un1.5,3,0 1 42,200,0.8332 +- 0.0129,0.5222 +- 0.0087,0.7736,0.4881,103f590c,6
photo,outpost,T_lean,3,0 1 42,200,0.8531 +- 0.0094,0.5340 +- 0.0094,0.7861,0.4949,3b5412fb,6
photo,outpost,T_lr0.003,3,0 1 42,200,0.8532 +- 0.0374,0.5432 +- 0.0293,0.7911,0.4906,82d9ffb8,6
photo,outpost,T_warmup15,3,0 1 42,200,0.8355 +- 0.0183,0.5255 +- 0.0119,0.7637,0.4761,ceebf5f0,6
tfinance,outpost,A_sim0.0,10,0 1 2 3 4 5 6 7 8 42,400,0.9087 +- 0.0112,0.6807 +- 0.0399,0.8946,0.6432,bd0099f0,10
tfinance,outpost,A_sim1.0,10,0 1 2 3 4 5 6 7 8 42,400,0.9215 +- 0.0039,0.7581 +- 0.0095,0.9105,0.6899,dd5eb61f,10
tfinance,demo,B_demo_mix,10,0 1 2 3 4 5 6 7 8 42,400,0.9161 +- 0.0081,0.7122 +- 0.0263,0.9029,0.6560,8d224a52,10
tfinance,outpost,C_noconformal,10,0 1 2 3 4 5 6 7 8 42,400,0.9114 +- 0.0128,0.6893 +- 0.0467,0.8996,0.6523,9b8f90f0,10
