# gpu=4 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 42 --method nsreg --tag NT_lr0.003_wd0.0 --rotations 0 --set lr=0.003 lbl_lr=0.003 clf_lr=0.003 weight_decay=0.0 n_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 477  num train neg edges: 3188
NSReg Training ...
Batch mode: enabled original propertion
Epoch 209 loss=0.4792, clf_loss=0.0026, lbl_loss=0.4766
Epoch 210 loss=0.4741, clf_loss=0.0010, lbl_loss=0.4731
Epoch 211 loss=0.5033, clf_loss=0.0008, lbl_loss=0.5025
Epoch 212 loss=0.4551, clf_loss=0.0011, lbl_loss=0.4540
Epoch 213 loss=0.4836, clf_loss=0.0008, lbl_loss=0.4829
Epoch 214 loss=0.5150, clf_loss=0.0149, lbl_loss=0.5002
Epoch 215 loss=0.5333, clf_loss=0.0042, lbl_loss=0.5292
Epoch 216 loss=0.4862, clf_loss=0.0060, lbl_loss=0.4802
Epoch 217 loss=0.5181, clf_loss=0.0014, lbl_loss=0.5167
Epoch 218 loss=0.5077, clf_loss=0.0010, lbl_loss=0.5067
Epoch 219 loss=0.5155, clf_loss=0.0006, lbl_loss=0.5148
Epoch 220 loss=0.4734, clf_loss=0.0011, lbl_loss=0.4723
Epoch 221 loss=0.5181, clf_loss=0.0004, lbl_loss=0.5178
Epoch 222 loss=0.5072, clf_loss=0.0007, lbl_loss=0.5065
Epoch 223 loss=0.5016, clf_loss=0.0130, lbl_loss=0.4886
Epoch 224 loss=0.4773, clf_loss=0.0045, lbl_loss=0.4727
Epoch 225 loss=0.4854, clf_loss=0.0025, lbl_loss=0.4829
Epoch 226 loss=0.5056, clf_loss=0.0096, lbl_loss=0.4961
Epoch 227 loss=0.4522, clf_loss=0.0032, lbl_loss=0.4490
Epoch 228 loss=0.4773, clf_loss=0.0023, lbl_loss=0.4751
Epoch 229 loss=0.4433, clf_loss=0.0035, lbl_loss=0.4398
Epoch 230 loss=0.4943, clf_loss=0.0076, lbl_loss=0.4867
Epoch 231 loss=0.4936, clf_loss=0.0032, lbl_loss=0.4904
Epoch 232 loss=0.5435, clf_loss=0.0080, lbl_loss=0.5355
Epoch 233 loss=0.4791, clf_loss=0.0026, lbl_loss=0.4766
Epoch 234 loss=0.4666, clf_loss=0.0076, lbl_loss=0.4590
