/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(7)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 714  num train neg edges: 2790
NSReg Training ...
Batch mode: enabled original propertion
Epoch 148 loss=0.6196, clf_loss=0.0247, lbl_loss=0.5949
Epoch 149 loss=0.6330, clf_loss=0.0071, lbl_loss=0.6259
Epoch 150 loss=0.6987, clf_loss=0.0687, lbl_loss=0.6300
Epoch 151 loss=0.6233, clf_loss=0.0121, lbl_loss=0.6112
Epoch 152 loss=0.6732, clf_loss=0.0539, lbl_loss=0.6193
Epoch 153 loss=0.6145, clf_loss=0.0053, lbl_loss=0.6092
Epoch 154 loss=0.6850, clf_loss=0.0542, lbl_loss=0.6308
Epoch 155 loss=0.6625, clf_loss=0.0463, lbl_loss=0.6161
Epoch 156 loss=0.6570, clf_loss=0.0489, lbl_loss=0.6081
Epoch 157 loss=0.6238, clf_loss=0.0055, lbl_loss=0.6183
Epoch 158 loss=0.6484, clf_loss=0.0147, lbl_loss=0.6337
Epoch 159 loss=0.6463, clf_loss=0.0570, lbl_loss=0.5893
Epoch 160 loss=0.6062, clf_loss=0.0283, lbl_loss=0.5778
Epoch 161 loss=0.6493, clf_loss=0.0714, lbl_loss=0.5780
Epoch 162 loss=0.6354, clf_loss=0.0224, lbl_loss=0.6130
Epoch 163 loss=0.6444, clf_loss=0.0257, lbl_loss=0.6188
Epoch 164 loss=0.5802, clf_loss=0.0182, lbl_loss=0.5620
Epoch 165 loss=0.6824, clf_loss=0.0602, lbl_loss=0.6222
Epoch 166 loss=0.6122, clf_loss=0.0256, lbl_loss=0.5866
Epoch 167 loss=0.6489, clf_loss=0.0480, lbl_loss=0.6009
Epoch 168 loss=0.6354, clf_loss=0.0256, lbl_loss=0.6098
Epoch 169 loss=0.6021, clf_loss=0.0085, lbl_loss=0.5936
Epoch 170 loss=0.6496, clf_loss=0.0273, lbl_loss=0.6223
Epoch 171 loss=0.6028, clf_loss=0.0240, lbl_loss=0.5788
Epoch 172 loss=0.6169, clf_loss=0.0168, lbl_loss=0.6002
Epoch 173 loss=0.6290, clf_loss=0.0364, lbl_loss=0.5927
Epoch 174 loss=0.5863, clf_loss=0.0184, lbl_loss=0.5679
Epoch 175 loss=0.5953, clf_loss=0.0307, lbl_loss=0.5646
