2026-08-09 21:09:09,431 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['use_hybrid=true'], 'tag': 'C_hopmix', 'rotations': None}
2026-08-09 21:43:38,954 INFO [OUTPOST-v4] epoch 320 cur={'auroc_all': 0.7032629725827466, 'aupr_all': 0.3265429790869578, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7300170068027212} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:43:45,495 INFO [OUTPOST-v4] epoch 321 cur={'auroc_all': 0.7018061427579875, 'aupr_all': 0.325602955323933, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7293367346938775} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:43:52,127 INFO [OUTPOST-v4] epoch 322 cur={'auroc_all': 0.7000079306352816, 'aupr_all': 0.32431651182144194, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7292517006802721} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:43:58,669 INFO [OUTPOST-v4] epoch 323 cur={'auroc_all': 0.6981270025244111, 'aupr_all': 0.3228231441084646, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7295068027210885} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:44:05,338 INFO [OUTPOST-v4] epoch 324 cur={'auroc_all': 0.6978266343831472, 'aupr_all': 0.32281016579505245, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7300170068027211} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:44:11,843 INFO [OUTPOST-v4] epoch 325 cur={'auroc_all': 0.6984676909892769, 'aupr_all': 0.32356490869440613, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7305272108843537} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:44:18,356 INFO [OUTPOST-v4] epoch 326 cur={'auroc_all': 0.6999461240665349, 'aupr_all': 0.32504864828362645, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7311224489795919} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:44:25,002 INFO [OUTPOST-v4] epoch 327 cur={'auroc_all': 0.7017633283302631, 'aupr_all': 0.326782830432467, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7306972789115647} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3271692522594238, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:44:31,569 INFO [OUTPOST-v4] epoch 328 cur={'auroc_all': 0.7029730755732763, 'aupr_all': 0.3279251792876958, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7329931972789115} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3279251792876958, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:44:38,112 INFO [OUTPOST-v4] epoch 329 cur={'auroc_all': 0.7044976033896891, 'aupr_all': 0.3293269673067087, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7337585034013606} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3293269673067087, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
