2026-08-21 20:21:11,380 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['drop_out=0.1'], 'tag': 'T_drop0.1', 'rotations': None}
2026-08-21 20:35:13,221 INFO [OUTPOST-v4] epoch 182 cur={'auroc_all': 0.7112870392629138, 'aupr_all': 0.29589993326218816, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7045918367346939} best={'auroc_all': 0.7112870392629138, 'aupr_all': 0.29589993326218816, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:17,873 INFO [OUTPOST-v4] epoch 183 cur={'auroc_all': 0.7115163469906698, 'aupr_all': 0.296256858611396, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7040816326530612} best={'auroc_all': 0.7115163469906698, 'aupr_all': 0.296256858611396, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:22,605 INFO [OUTPOST-v4] epoch 184 cur={'auroc_all': 0.7117553909619267, 'aupr_all': 0.29665095520824414, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7045918367346939} best={'auroc_all': 0.7117553909619267, 'aupr_all': 0.29665095520824414, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:27,379 INFO [OUTPOST-v4] epoch 185 cur={'auroc_all': 0.7119701610391508, 'aupr_all': 0.29703370137500484, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.705187074829932} best={'auroc_all': 0.7119701610391508, 'aupr_all': 0.29703370137500484, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:32,191 INFO [OUTPOST-v4] epoch 186 cur={'auroc_all': 0.7121513684806511, 'aupr_all': 0.29732710899659237, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7056122448979592} best={'auroc_all': 0.7121513684806511, 'aupr_all': 0.29732710899659237, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:36,954 INFO [OUTPOST-v4] epoch 187 cur={'auroc_all': 0.712330687382404, 'aupr_all': 0.2975552258296134, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.705952380952381} best={'auroc_all': 0.712330687382404, 'aupr_all': 0.2975552258296134, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:41,694 INFO [OUTPOST-v4] epoch 188 cur={'auroc_all': 0.7124879801629755, 'aupr_all': 0.2977384052636354, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7063775510204081} best={'auroc_all': 0.7124879801629755, 'aupr_all': 0.2977384052636354, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:46,573 INFO [OUTPOST-v4] epoch 189 cur={'auroc_all': 0.712611903267319, 'aupr_all': 0.29786171468687006, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7063775510204082} best={'auroc_all': 0.712611903267319, 'aupr_all': 0.29786171468687006, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:51,322 INFO [OUTPOST-v4] epoch 190 cur={'auroc_all': 0.7127145987743525, 'aupr_all': 0.2980411728763198, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7069727891156463} best={'auroc_all': 0.7127145987743525, 'aupr_all': 0.2980411728763198, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:35:56,155 INFO [OUTPOST-v4] epoch 191 cur={'auroc_all': 0.712804524057726, 'aupr_all': 0.29829514446680705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7071428571428572} best={'auroc_all': 0.712804524057726, 'aupr_all': 0.29829514446680705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
