2026-08-10 07:05:12,814 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 6, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false'], 'tag': 'C_nogate', 'rotations': None}
2026-08-10 07:24:26,992 INFO [OUTPOST-v4] epoch 156 cur={'auroc_all': 0.6417495606291751, 'aupr_all': 0.22784134797234673, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5980442176870747} best={'auroc_all': 0.6417495606291751, 'aupr_all': 0.22784134797234673, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:24:34,863 INFO [OUTPOST-v4] epoch 157 cur={'auroc_all': 0.6434265921356919, 'aupr_all': 0.22906247768406246, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.598469387755102} best={'auroc_all': 0.6434265921356919, 'aupr_all': 0.22906247768406246, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:24:42,359 INFO [OUTPOST-v4] epoch 158 cur={'auroc_all': 0.6449616095587438, 'aupr_all': 0.23018764134554062, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5994897959183674} best={'auroc_all': 0.6449616095587438, 'aupr_all': 0.23018764134554062, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:24:50,295 INFO [OUTPOST-v4] epoch 159 cur={'auroc_all': 0.6464551837981485, 'aupr_all': 0.23129704615016095, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5998299319727892} best={'auroc_all': 0.6464551837981485, 'aupr_all': 0.23129704615016095, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:24:57,881 INFO [OUTPOST-v4] epoch 160 cur={'auroc_all': 0.648057018578559, 'aupr_all': 0.23241678328920926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6005102040816326} best={'auroc_all': 0.648057018578559, 'aupr_all': 0.23241678328920926, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:25:06,157 INFO [OUTPOST-v4] epoch 161 cur={'auroc_all': 0.6497524202396381, 'aupr_all': 0.23358591545458043, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6005952380952382} best={'auroc_all': 0.6497524202396381, 'aupr_all': 0.23358591545458043, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:25:13,799 INFO [OUTPOST-v4] epoch 162 cur={'auroc_all': 0.6513308186523386, 'aupr_all': 0.2347138912360142, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6017857142857144} best={'auroc_all': 0.6513308186523386, 'aupr_all': 0.2347138912360142, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:25:21,120 INFO [OUTPOST-v4] epoch 163 cur={'auroc_all': 0.6526650391395347, 'aupr_all': 0.23569650048385085, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6022959183673469} best={'auroc_all': 0.6526650391395347, 'aupr_all': 0.23569650048385085, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:25:28,849 INFO [OUTPOST-v4] epoch 164 cur={'auroc_all': 0.6537808171608026, 'aupr_all': 0.23655916282885459, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6024659863945577} best={'auroc_all': 0.6537808171608026, 'aupr_all': 0.23655916282885459, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:25:36,292 INFO [OUTPOST-v4] epoch 165 cur={'auroc_all': 0.6549204482601816, 'aupr_all': 0.23741898922755122, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6031462585034013} best={'auroc_all': 0.6549204482601816, 'aupr_all': 0.23741898922755122, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
