2026-08-21 21:13:04,517 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['alpha_plus=0.01'], 'tag': 'T_alpha0.01', 'rotations': None}
2026-08-21 21:39:57,692 INFO [OUTPOST-v4] epoch 343 cur={'auroc_all': 0.7674887997481705, 'aupr_all': 0.42933157973745434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6619897959183673} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42933157973745434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:01,727 INFO [OUTPOST-v4] epoch 344 cur={'auroc_all': 0.7677221493615376, 'aupr_all': 0.42999579616303396, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6628401360544217} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42999579616303396, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:06,127 INFO [OUTPOST-v4] epoch 345 cur={'auroc_all': 0.7682236695662403, 'aupr_all': 0.4306513966014426, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6656462585034013} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4306513966014426, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:11,058 INFO [OUTPOST-v4] epoch 346 cur={'auroc_all': 0.7682048252239806, 'aupr_all': 0.4312943786496172, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6658163265306123} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4312943786496172, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:16,095 INFO [OUTPOST-v4] epoch 347 cur={'auroc_all': 0.7677895681777506, 'aupr_all': 0.4315446759103427, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6629251700680272} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4315446759103427, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:20,990 INFO [OUTPOST-v4] epoch 348 cur={'auroc_all': 0.7677951763196953, 'aupr_all': 0.4318184753667111, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6634353741496599} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4318184753667111, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:25,620 INFO [OUTPOST-v4] epoch 349 cur={'auroc_all': 0.7681328143823174, 'aupr_all': 0.43202697573604515, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6647108843537415} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43202697573604515, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:30,317 INFO [OUTPOST-v4] epoch 350 cur={'auroc_all': 0.7681483270941317, 'aupr_all': 0.43197261533398534, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6642006802721089} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43202697573604515, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:35,028 INFO [OUTPOST-v4] epoch 351 cur={'auroc_all': 0.7678308286657047, 'aupr_all': 0.43234491493221616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.664030612244898} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43234491493221616, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:39,983 INFO [OUTPOST-v4] epoch 352 cur={'auroc_all': 0.7673740483781644, 'aupr_all': 0.43250836097428014, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6629251700680272} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43250836097428014, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:44,805 INFO [OUTPOST-v4] epoch 353 cur={'auroc_all': 0.7675857762641871, 'aupr_all': 0.43263369145287756, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6636054421768708} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43263369145287756, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:49,829 INFO [OUTPOST-v4] epoch 354 cur={'auroc_all': 0.7677342052245104, 'aupr_all': 0.43245804010842215, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.663860544217687} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43263369145287756, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:54,736 INFO [OUTPOST-v4] epoch 355 cur={'auroc_all': 0.7676511156339175, 'aupr_all': 0.4320274548107845, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6632653061224489} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43263369145287756, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:40:59,514 INFO [OUTPOST-v4] epoch 356 cur={'auroc_all': 0.7673724061696886, 'aupr_all': 0.4313645967942423, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6613095238095239} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43263369145287756, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:41:04,379 INFO [OUTPOST-v4] epoch 357 cur={'auroc_all': 0.7672554419237612, 'aupr_all': 0.43126091561796154, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6611394557823129} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43263369145287756, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:41:09,215 INFO [OUTPOST-v4] epoch 358 cur={'auroc_all': 0.7682153682023952, 'aupr_all': 0.4317827082440571, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6655612244897959} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.43263369145287756, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
