2026-08-21 20:45:23,818 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['warmup_epochs=5'], 'tag': 'T_warmup5', 'rotations': None}
2026-08-21 21:01:12,677 INFO [OUTPOST-v4] epoch 197 cur={'auroc_all': 0.7055553929769165, 'aupr_all': 0.31225254189924734, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6200680272108844} best={'auroc_all': 0.7055553929769165, 'aupr_all': 0.31225254189924734, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:17,656 INFO [OUTPOST-v4] epoch 198 cur={'auroc_all': 0.7068107340854992, 'aupr_all': 0.3133963694920548, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6208333333333333} best={'auroc_all': 0.7068107340854992, 'aupr_all': 0.3133963694920548, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:22,634 INFO [OUTPOST-v4] epoch 199 cur={'auroc_all': 0.7079914080802092, 'aupr_all': 0.3145085464264824, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6210884353741497} best={'auroc_all': 0.7079914080802092, 'aupr_all': 0.3145085464264824, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:27,740 INFO [OUTPOST-v4] epoch 200 cur={'auroc_all': 0.7092455360072807, 'aupr_all': 0.3156670396234525, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6226190476190476} best={'auroc_all': 0.7092455360072807, 'aupr_all': 0.3156670396234525, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:32,920 INFO [OUTPOST-v4] epoch 201 cur={'auroc_all': 0.7106000090305045, 'aupr_all': 0.3169290907669958, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6244897959183673} best={'auroc_all': 0.7106000090305045, 'aupr_all': 0.3169290907669958, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:37,826 INFO [OUTPOST-v4] epoch 202 cur={'auroc_all': 0.7118948698860571, 'aupr_all': 0.31814254724688606, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6250850340136054} best={'auroc_all': 0.7118948698860571, 'aupr_all': 0.31814254724688606, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:42,766 INFO [OUTPOST-v4] epoch 203 cur={'auroc_all': 0.7131716377097277, 'aupr_all': 0.31932365614071967, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6262755102040816} best={'auroc_all': 0.7131716377097277, 'aupr_all': 0.31932365614071967, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:47,563 INFO [OUTPOST-v4] epoch 204 cur={'auroc_all': 0.7146988525897591, 'aupr_all': 0.320636634353077, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6295068027210884} best={'auroc_all': 0.7146988525897591, 'aupr_all': 0.320636634353077, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:52,451 INFO [OUTPOST-v4] epoch 205 cur={'auroc_all': 0.7162781213729517, 'aupr_all': 0.3220182836915443, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6310374149659863} best={'auroc_all': 0.7162781213729517, 'aupr_all': 0.3220182836915443, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:01:57,296 INFO [OUTPOST-v4] epoch 206 cur={'auroc_all': 0.7176207992337981, 'aupr_all': 0.3232533974451891, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6321428571428571} best={'auroc_all': 0.7176207992337981, 'aupr_all': 0.3232533974451891, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
